CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"drift33_1st_1_8_21"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2022-01-08T18:06:18"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	957
BEGIN_DATA
18	R1	  255.00	  255.00	    0.00	 0.69467	 0.74461	 0.03824	   89.14	   -4.96	  109.44	    0.0180	    0.0191	    0.0200	    0.0205	    0.0183	    0.0138	    0.0118	    0.0121	    0.0157	    0.0221	    0.0290	    0.0598	    0.2150	    0.4843	    0.6866	    0.7785	    0.8167	    0.8316	    0.8337	    0.8357	    0.8334	    0.8328	    0.8330	    0.8345	    0.8370	    0.8398	    0.8442	    0.8488	    0.8520	    0.8548	    0.8597	    0.8637	    0.8681	    0.8701	    0.8685	    0.8687	
19	S1	  255.00	   85.00	  170.00	 0.50800	 0.34705	 0.21436	   65.52	   52.46	   12.94	    0.1835	    0.1956	    0.2041	    0.2094	    0.2436	    0.2870	    0.2859	    0.2734	    0.2615	    0.2508	    0.2394	    0.2385	    0.2393	    0.2022	    0.1522	    0.1400	    0.1501	    0.1346	    0.1359	    0.2289	    0.4266	    0.6199	    0.7244	    0.7759	    0.8033	    0.8187	    0.8304	    0.8400	    0.8476	    0.8537	    0.8608	    0.8661	    0.8717	    0.8752	    0.8736	    0.8708	
20	T1	  170.00	    0.00	  170.00	 0.20754	 0.10403	 0.09988	   38.56	   64.49	   -4.87	    0.1196	    0.1275	    0.1331	    0.1365	    0.1598	    0.1863	    0.1733	    0.1458	    0.1196	    0.0926	    0.0617	    0.0378	    0.0233	    0.0118	    0.0060	    0.0048	    0.0051	    0.0048	    0.0055	    0.0177	    0.0834	    0.2059	    0.3051	    0.3554	    0.3767	    0.3919	    0.4137	    0.4408	    0.4656	    0.4816	    0.4901	    0.4933	    0.4945	    0.4972	    0.5063	    0.5229	
21	U1	   26.00	   26.00	   26.00	 0.01234	 0.01086	 0.01051	    9.69	    6.23	   -2.41	    0.0078	    0.0083	    0.0087	    0.0089	    0.0100	    0.0114	    0.0124	    0.0131	    0.0136	    0.0141	    0.0139	    0.0128	    0.0117	    0.0105	    0.0093	    0.0088	    0.0089	    0.0086	    0.0083	    0.0091	    0.0108	    0.0126	    0.0136	    0.0138	    0.0139	    0.0146	    0.0166	    0.0198	    0.0232	    0.0256	    0.0266	    0.0269	    0.0271	    0.0275	    0.0298	    0.0338	
22	V1	   85.00	  255.00	  255.00	 0.31241	 0.44098	 0.67788	   72.29	  -37.16	  -35.08	    0.4039	    0.4306	    0.4492	    0.4609	    0.5569	    0.7183	    0.8065	    0.8479	    0.8739	    0.8997	    0.9016	    0.8637	    0.8243	    0.7893	    0.7455	    0.6837	    0.6036	    0.5012	    0.3856	    0.2906	    0.2290	    0.1936	    0.1660	    0.1476	    0.1447	    0.1513	    0.1662	    0.1913	    0.2206	    0.2355	    0.2286	    0.2124	    0.1914	    0.1798	    0.1992	    0.2562	
23	W1	   85.00	  255.00	   85.00	 0.15250	 0.30298	 0.13089	   61.91	  -65.43	   26.07	    0.0665	    0.0709	    0.0740	    0.0759	    0.0851	    0.0980	    0.1060	    0.1150	    0.1239	    0.1386	    0.1836	    0.3085	    0.4984	    0.6152	    0.6187	    0.5611	    0.4778	    0.3763	    0.2708	    0.1912	    0.1436	    0.1176	    0.0984	    0.0862	    0.0847	    0.0897	    0.1001	    0.1175	    0.1376	    0.1478	    0.1437	    0.1325	    0.1184	    0.1108	    0.1271	    0.1735	
24	X1	    2.00	    2.00	    2.00	 0.00289	 0.00296	 0.00239	    2.67	    0.15	    0.10	    0.0015	    0.0016	    0.0017	    0.0017	    0.0024	    0.0030	    0.0030	    0.0029	    0.0031	    0.0029	    0.0027	    0.0030	    0.0030	    0.0030	    0.0029	    0.0029	    0.0030	    0.0030	    0.0029	    0.0029	    0.0029	    0.0029	    0.0029	    0.0029	    0.0029	    0.0030	    0.0033	    0.0036	    0.0040	    0.0042	    0.0044	    0.0043	    0.0045	    0.0044	    0.0052	    0.0063	
25	Y1	   85.00	   85.00	    0.00	 0.07206	 0.07323	 0.01126	   32.53	    1.42	   35.88	    0.0100	    0.0107	    0.0111	    0.0114	    0.0106	    0.0099	    0.0096	    0.0095	    0.0099	    0.0111	    0.0133	    0.0207	    0.0388	    0.0572	    0.0665	    0.0714	    0.0739	    0.0734	    0.0726	    0.0756	    0.0813	    0.0854	    0.0861	    0.0864	    0.0886	    0.0923	    0.0974	    0.1035	    0.1094	    0.1137	    0.1153	    0.1152	    0.1150	    0.1165	    0.1221	    0.1321	
26	Z1	    0.00	    0.00	  170.00	 0.04192	 0.01929	 0.13281	   15.11	   41.73	  -55.15	    0.1015	    0.1082	    0.1129	    0.1158	    0.1401	    0.1814	    0.2001	    0.1994	    0.1861	    0.1617	    0.1205	    0.0681	    0.0328	    0.0168	    0.0094	    0.0066	    0.0059	    0.0057	    0.0054	    0.0058	    0.0077	    0.0134	    0.0222	    0.0240	    0.0187	    0.0184	    0.0319	    0.0671	    0.1207	    0.1720	    0.2064	    0.2247	    0.2323	    0.2373	    0.2494	    0.2715	
27	[1	    0.00	  170.00	   85.00	 0.01956	 0.05179	 0.06784	   27.24	  -50.00	  -12.41	    0.0321	    0.0342	    0.0357	    0.0366	    0.0423	    0.0517	    0.0615	    0.0710	    0.0773	    0.0859	    0.1070	    0.1477	    0.1848	    0.1852	    0.1543	    0.1112	    0.0683	    0.0331	    0.0133	    0.0067	    0.0049	    0.0043	    0.0041	    0.0041	    0.0041	    0.0041	    0.0041	    0.0043	    0.0048	    0.0049	    0.0046	    0.0047	    0.0047	    0.0052	    0.0069	    0.0095	
28	\1	    0.00	    0.00	    0.00	 0.00198	 0.00209	 0.00189	    1.88	   -0.13	   -0.31	    0.0021	    0.0023	    0.0024	    0.0024	    0.0024	    0.0025	    0.0024	    0.0023	    0.0022	    0.0022	    0.0022	    0.0022	    0.0022	    0.0021	    0.0022	    0.0022	    0.0022	    0.0021	    0.0021	    0.0021	    0.0021	    0.0020	    0.0019	    0.0019	    0.0019	    0.0019	    0.0019	    0.0020	    0.0022	    0.0022	    0.0022	    0.0021	    0.0018	    0.0015	    0.0017	    0.0023	
29	]1	  170.00	  170.00	    0.00	 0.27063	 0.28701	 0.02101	   60.52	   -2.45	   73.09	    0.0141	    0.0150	    0.0157	    0.0161	    0.0146	    0.0121	    0.0107	    0.0103	    0.0116	    0.0137	    0.0176	    0.0379	    0.1180	    0.2189	    0.2696	    0.2919	    0.3073	    0.3082	    0.3042	    0.3121	    0.3202	    0.3233	    0.3219	    0.3213	    0.3261	    0.3348	    0.3468	    0.3612	    0.3751	    0.3834	    0.3863	    0.3856	    0.3830	    0.3843	    0.3961	    0.4182	
30	^1	   85.00	    0.00	   85.00	 0.06726	 0.03577	 0.03483	   22.22	   41.09	   -3.74	    0.0371	    0.0395	    0.0412	    0.0423	    0.0494	    0.0579	    0.0562	    0.0504	    0.0439	    0.0362	    0.0259	    0.0178	    0.0126	    0.0077	    0.0049	    0.0042	    0.0044	    0.0042	    0.0048	    0.0105	    0.0336	    0.0701	    0.0965	    0.1087	    0.1141	    0.1197	    0.1293	    0.1421	    0.1542	    0.1621	    0.1661	    0.1677	    0.1681	    0.1703	    0.1777	    0.1895	
31	_1	  170.00	    0.00	    0.00	 0.15743	 0.08347	 0.00763	   34.69	   54.77	   45.43	    0.0148	    0.0158	    0.0165	    0.0169	    0.0174	    0.0150	    0.0109	    0.0084	    0.0073	    0.0071	    0.0069	    0.0066	    0.0058	    0.0054	    0.0054	    0.0053	    0.0046	    0.0047	    0.0055	    0.0106	    0.0665	    0.1939	    0.2665	    0.2908	    0.3040	    0.3155	    0.3281	    0.3421	    0.3550	    0.3629	    0.3653	    0.3646	    0.3621	    0.3630	    0.3748	    0.3933	
32	`1	    0.00	  170.00	    0.00	 0.02317	 0.06743	 0.02064	   31.21	  -59.22	   22.92	    0.0126	    0.0134	    0.0140	    0.0143	    0.0135	    0.0129	    0.0126	    0.0125	    0.0132	    0.0153	    0.0223	    0.0534	    0.1264	    0.1820	    0.1851	    0.1581	    0.1189	    0.0757	    0.0411	    0.0232	    0.0158	    0.0126	    0.0108	    0.0097	    0.0093	    0.0093	    0.0098	    0.0110	    0.0128	    0.0138	    0.0128	    0.0118	    0.0104	    0.0108	    0.0134	    0.0202	
33	a1	    0.00	    0.00	    0.00	 0.00198	 0.00204	 0.00200	    1.84	    0.05	   -0.60	    0.0023	    0.0024	    0.0025	    0.0026	    0.0025	    0.0026	    0.0025	    0.0024	    0.0024	    0.0024	    0.0023	    0.0022	    0.0020	    0.0022	    0.0022	    0.0021	    0.0021	    0.0021	    0.0020	    0.0020	    0.0019	    0.0019	    0.0019	    0.0019	    0.0019	    0.0021	    0.0021	    0.0022	    0.0024	    0.0026	    0.0026	    0.0028	    0.0025	    0.0024	    0.0030	    0.0031	
34	A2	  255.00	   85.00	    0.00	 0.47370	 0.32098	 0.01585	   63.42	   52.19	   83.37	    0.0149	    0.0159	    0.0166	    0.0170	    0.0153	    0.0127	    0.0113	    0.0109	    0.0121	    0.0144	    0.0173	    0.0260	    0.0585	    0.1058	    0.1419	    0.1580	    0.1442	    0.1246	    0.1293	    0.1892	    0.3833	    0.6221	    0.7449	    0.7965	    0.8197	    0.8309	    0.8390	    0.8452	    0.8498	    0.8542	    0.8609	    0.8663	    0.8713	    0.8734	    0.8715	    0.8690	
35	B2	    0.00	   85.00	  255.00	 0.07108	 0.05128	 0.37921	   27.10	   23.90	  -80.03	    0.2001	    0.2133	    0.2225	    0.2283	    0.2883	    0.4020	    0.5034	    0.5512	    0.5463	    0.5153	    0.4424	    0.3257	    0.2200	    0.1434	    0.0845	    0.0489	    0.0301	    0.0166	    0.0080	    0.0051	    0.0046	    0.0046	    0.0044	    0.0042	    0.0042	    0.0044	    0.0049	    0.0063	    0.0087	    0.0102	    0.0091	    0.0081	    0.0078	    0.0080	    0.0096	    0.0151	
36	C2	  255.00	    0.00	  255.00	 0.38762	 0.19217	 0.18661	   50.94	   80.48	   -6.43	    0.2210	    0.2356	    0.2458	    0.2523	    0.2969	    0.3498	    0.3261	    0.2731	    0.2234	    0.1724	    0.1134	    0.0682	    0.0417	    0.0196	    0.0086	    0.0068	    0.0076	    0.0069	    0.0081	    0.0312	    0.1491	    0.3647	    0.5538	    0.6710	    0.7361	    0.7719	    0.7948	    0.8109	    0.8229	    0.8316	    0.8407	    0.8478	    0.8548	    0.8594	    0.8592	    0.8562	
37	D2	  255.00	  170.00	  255.00	 0.66183	 0.56044	 0.59422	   79.64	   28.82	  -14.37	    0.4537	    0.4837	    0.5047	    0.5178	    0.6072	    0.7379	    0.7705	    0.7641	    0.7572	    0.7461	    0.7054	    0.6422	    0.5850	    0.5086	    0.4272	    0.4047	    0.4234	    0.4037	    0.4003	    0.4956	    0.6292	    0.7219	    0.7692	    0.7933	    0.8065	    0.8148	    0.8232	    0.8315	    0.8395	    0.8457	    0.8512	    0.8554	    0.8605	    0.8633	    0.8628	    0.8629	
38	E2	  170.00	  170.00	    0.00	 0.27133	 0.28765	 0.02111	   60.57	   -2.41	   73.10	    0.0136	    0.0145	    0.0151	    0.0155	    0.0144	    0.0124	    0.0109	    0.0105	    0.0116	    0.0137	    0.0177	    0.0380	    0.1179	    0.2188	    0.2701	    0.2926	    0.3080	    0.3090	    0.3050	    0.3128	    0.3208	    0.3239	    0.3227	    0.3222	    0.3270	    0.3358	    0.3479	    0.3624	    0.3764	    0.3851	    0.3882	    0.3876	    0.3853	    0.3864	    0.3987	    0.4214	
39	F2	    0.00	   85.00	   85.00	 0.01209	 0.01842	 0.04709	   14.64	  -15.89	  -24.18	    0.0241	    0.0257	    0.0268	    0.0275	    0.0336	    0.0440	    0.0531	    0.0595	    0.0634	    0.0660	    0.0662	    0.0635	    0.0588	    0.0524	    0.0433	    0.0330	    0.0229	    0.0134	    0.0069	    0.0042	    0.0034	    0.0030	    0.0028	    0.0029	    0.0030	    0.0030	    0.0030	    0.0032	    0.0038	    0.0038	    0.0035	    0.0034	    0.0033	    0.0038	    0.0041	    0.0060	
