CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"drift33_2nd_1_8_21r"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED		"2022-01-08T18:46:17"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730	
END_DATA_FORMAT

NUMBER_OF_SETS	957
BEGIN_DATA
18	R1	  170.00	    0.00	  170.00	 0.21252	 0.10650	 0.10289	   38.98	   65.03	   -5.11	    0.1234	    0.1315	    0.1372	    0.1408	    0.1642	    0.1915	    0.1785	    0.1501	    0.1232	    0.0958	    0.0638	    0.0390	    0.0239	    0.0119	    0.0058	    0.0046	    0.0049	    0.0046	    0.0053	    0.0181	    0.0866	    0.2122	    0.3128	    0.3636	    0.3852	    0.4004	    0.4223	    0.4492	    0.4739	    0.4896	    0.4977	    0.5010	    0.5020	    0.5045	    0.5144	    0.5313	
19	S1	   85.00	    0.00	   85.00	 0.07222	 0.03837	 0.03840	   23.12	   42.13	   -4.49	    0.0403	    0.0430	    0.0449	    0.0460	    0.0536	    0.0629	    0.0615	    0.0554	    0.0487	    0.0404	    0.0294	    0.0202	    0.0141	    0.0083	    0.0049	    0.0042	    0.0045	    0.0042	    0.0048	    0.0113	    0.0368	    0.0760	    0.1037	    0.1164	    0.1220	    0.1278	    0.1379	    0.1511	    0.1636	    0.1719	    0.1763	    0.1783	    0.1791	    0.1815	    0.1887	    0.2012	
20	T1	   85.00	  170.00	    0.00	 0.10332	 0.15193	 0.01997	   45.90	  -29.31	   48.87	    0.0135	    0.0144	    0.0150	    0.0154	    0.0143	    0.0123	    0.0111	    0.0105	    0.0114	    0.0136	    0.0181	    0.0417	    0.1182	    0.1978	    0.2293	    0.2317	    0.2210	    0.1953	    0.1619	    0.1360	    0.1187	    0.1077	    0.0981	    0.0917	    0.0916	    0.0961	    0.1041	    0.1162	    0.1295	    0.1365	    0.1351	    0.1290	    0.1206	    0.1171	    0.1280	    0.1573	
21	U1	  170.00	  255.00	    0.00	 0.37304	 0.48888	 0.03755	   75.38	  -29.55	   86.15	    0.0191	    0.0203	    0.0212	    0.0218	    0.0193	    0.0157	    0.0138	    0.0135	    0.0158	    0.0204	    0.0264	    0.0635	    0.2307	    0.4861	    0.6436	    0.6809	    0.6607	    0.6124	    0.5472	    0.4875	    0.4419	    0.4131	    0.3891	    0.3733	    0.3744	    0.3859	    0.4049	    0.4321	    0.4601	    0.4745	    0.4731	    0.4621	    0.4452	    0.4360	    0.4573	    0.5117	
22	V1	    2.00	    2.00	    2.00	 0.00277	 0.00281	 0.00224	    2.54	    0.24	    0.14	    0.0022	    0.0023	    0.0024	    0.0025	    0.0023	    0.0027	    0.0027	    0.0027	    0.0028	    0.0029	    0.0024	    0.0026	    0.0027	    0.0028	    0.0027	    0.0028	    0.0028	    0.0028	    0.0027	    0.0028	    0.0028	    0.0028	    0.0028	    0.0028	    0.0028	    0.0030	    0.0032	    0.0035	    0.0039	    0.0040	    0.0042	    0.0044	    0.0048	    0.0048	    0.0051	    0.0056	
23	W1	   16.00	   16.00	   16.00	 0.00854	 0.00755	 0.00672	    6.82	    5.07	   -0.92	    0.0051	    0.0055	    0.0057	    0.0059	    0.0064	    0.0072	    0.0078	    0.0082	    0.0086	    0.0090	    0.0090	    0.0086	    0.0080	    0.0071	    0.0064	    0.0061	    0.0061	    0.0061	    0.0059	    0.0064	    0.0075	    0.0086	    0.0094	    0.0096	    0.0096	    0.0102	    0.0119	    0.0142	    0.0169	    0.0186	    0.0196	    0.0203	    0.0210	    0.0214	    0.0237	    0.0270	
24	X1	   85.00	   85.00	   85.00	 0.09100	 0.09017	 0.07584	   36.02	    3.43	   -0.57	    0.0472	    0.0503	    0.0525	    0.0539	    0.0638	    0.0795	    0.0872	    0.0922	    0.0971	    0.1013	    0.1029	    0.1015	    0.0996	    0.0942	    0.0864	    0.0842	    0.0861	    0.0817	    0.0773	    0.0835	    0.0925	    0.0971	    0.0967	    0.0952	    0.0968	    0.1012	    0.1080	    0.1170	    0.1262	    0.1317	    0.1321	    0.1303	    0.1280	    0.1286	    0.1375	    0.1546	
25	Y1	  170.00	    0.00	  255.00	 0.27293	 0.13586	 0.22404	   43.63	   71.25	  -26.69	    0.2348	    0.2503	    0.2612	    0.2680	    0.3204	    0.3896	    0.3776	    0.3294	    0.2794	    0.2241	    0.1549	    0.0962	    0.0585	    0.0284	    0.0123	    0.0093	    0.0105	    0.0093	    0.0103	    0.0317	    0.1149	    0.2529	    0.3732	    0.4291	    0.4320	    0.4394	    0.4883	    0.5677	    0.6480	    0.7079	    0.7478	    0.7722	    0.7890	    0.7984	    0.8050	    0.8125	
26	Z1	   85.00	    0.00	   85.00	 0.07161	 0.03813	 0.03819	   23.04	   41.88	   -4.49	    0.0397	    0.0424	    0.0442	    0.0454	    0.0527	    0.0623	    0.0611	    0.0551	    0.0485	    0.0404	    0.0294	    0.0202	    0.0143	    0.0085	    0.0050	    0.0043	    0.0046	    0.0043	    0.0049	    0.0114	    0.0367	    0.0754	    0.1028	    0.1152	    0.1208	    0.1266	    0.1365	    0.1497	    0.1621	    0.1705	    0.1748	    0.1762	    0.1770	    0.1794	    0.1866	    0.1983	
27	[1	  255.00	  170.00	  255.00	 0.66682	 0.56952	 0.60145	   80.15	   27.71	  -14.21	    0.4511	    0.4810	    0.5018	    0.5149	    0.6061	    0.7417	    0.7771	    0.7725	    0.7672	    0.7581	    0.7189	    0.6552	    0.5972	    0.5210	    0.4400	    0.4177	    0.4359	    0.4161	    0.4130	    0.5076	    0.6375	    0.7261	    0.7707	    0.7934	    0.8061	    0.8143	    0.8229	    0.8315	    0.8398	    0.8465	    0.8520	    0.8564	    0.8625	    0.8656	    0.8645	    0.8656	
