DESCRIPTOR	"Chart 400 Patches"
NUMBER_OF_FIELDS	5
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	
END_DATA_FORMAT

NUMBER_OF_SETS	400
BEGIN_DATA
278	-	  170.00	  255.00	  170.00	
279	-	  212.50	  255.00	  170.00	
280	-	  255.00	  255.00	  170.00	
281	-	    0.00	    0.00	  212.50	
282	-	   42.50	    0.00	  212.50	
283	-	   85.00	    0.00	  212.50	
284	-	  127.50	    0.00	  212.50	
285	-	  170.00	    0.00	  212.50	
286	-	  212.50	    0.00	  212.50	
287	-	  255.00	    0.00	  212.50	
288	-	    0.00	   36.43	  212.50	
289	-	   42.50	   36.43	  212.50	
290	-	   85.00	   36.43	  212.50	
291	-	  127.50	   36.43	  212.50	
292	-	  170.00	   36.43	  212.50	
293	-	  212.50	   36.43	  212.50	
294	-	  255.00	   36.43	  212.50	
295	-	    0.00	   72.86	  212.50	
296	-	   42.50	   72.86	  212.50	
297	-	   85.00	   72.86	  212.50	
298	-	  127.50	   72.86	  212.50	
299	-	  170.00	   72.86	  212.50	
300	-	  212.50	   72.86	  212.50	
301	-	  255.00	   72.86	  212.50	
302	-	    0.00	  109.29	  212.50	
303	-	   42.50	  109.29	  212.50	
304	-	   85.00	  109.29	  212.50	
305	-	  127.50	  109.29	  212.50	
306	-	  170.00	  109.29	  212.50	
307	-	  212.50	  109.29	  212.50	
308	-	  255.00	  109.29	  212.50	
309	-	    0.00	  145.71	  212.50	
310	-	   42.50	  145.71	  212.50	
311	-	   85.00	  145.71	  212.50	
312	-	  127.50	  145.71	  212.50	
313	-	  170.00	  145.71	  212.50	
314	-	  212.50	  145.71	  212.50	
315	-	  255.00	  145.71	  212.50	
316	-	    0.00	  182.14	  212.50	
317	-	   42.50	  182.14	  212.50	
318	-	   85.00	  182.14	  212.50	
319	-	  127.50	  182.14	  212.50	
320	-	  170.00	  182.14	  212.50	
321	-	  212.50	  182.14	  212.50	
322	-	  255.00	  182.14	  212.50	
323	-	    0.00	  218.57	  212.50	
324	-	   42.50	  218.57	  212.50	
325	-	   85.00	  218.57	  212.50	
326	-	  127.50	  218.57	  212.50	
327	-	  170.00	  218.57	  212.50	
328	-	  212.50	  218.57	  212.50	
329	-	  255.00	  218.57	  212.50	
330	-	    0.00	  255.00	  212.50	
331	-	   42.50	  255.00	  212.50	
332	-	   85.00	  255.00	  212.50	
333	-	  127.50	  255.00	  212.50	
334	-	  170.00	  255.00	  212.50	
335	-	  212.50	  255.00	  212.50	
336	-	  255.00	  255.00	  212.50	
337	-	    0.00	    0.00	  255.00	
338	-	   42.50	    0.00	  255.00	
339	-	   85.00	    0.00	  255.00	
