CGATS.17

ORIGINATOR	"i1Profiler - X-Rite, Inc."
INSTRUMENTATION	"i1iSis 2 XL ; Serial number 0"
DESCRIPTOR	"i400_M2.txt"
MEASUREMENT_SOURCE	"MeasurementCondition=M2	Filter=UVcut"
ILLUMINATION_NAME	"D50"
OBSERVER_ANGLE	"2"
FILTER	"UV"
WEIGHTING_FUNCTION	"ILLUMINANT,	D50"
WEIGHTING_FUNCTION	"OBSERVER,	2 degree"
KEYWORD	"DEVCALSTD"
DEVCALSTD	"XRGA"
CREATED	"2022-01-08T19:02:49"

NUMBER_OF_FIELDS	47
BEGIN_DATA_FORMAT
SAMPLE_ID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	XYZ_X	XYZ_Y	XYZ_Z	LAB_L	LAB_A	LAB_B	SPECTRAL_NM380	SPECTRAL_NM390	SPECTRAL_NM400	SPECTRAL_NM410	SPECTRAL_NM420	SPECTRAL_NM430	SPECTRAL_NM440	SPECTRAL_NM450	SPECTRAL_NM460	SPECTRAL_NM470	SPECTRAL_NM480	SPECTRAL_NM490	SPECTRAL_NM500	SPECTRAL_NM510	SPECTRAL_NM520	SPECTRAL_NM530	SPECTRAL_NM540	SPECTRAL_NM550	SPECTRAL_NM560	SPECTRAL_NM570	SPECTRAL_NM580	SPECTRAL_NM590	SPECTRAL_NM600	SPECTRAL_NM610	SPECTRAL_NM620	SPECTRAL_NM630	SPECTRAL_NM640	SPECTRAL_NM650	SPECTRAL_NM660	SPECTRAL_NM670	SPECTRAL_NM680	SPECTRAL_NM690	SPECTRAL_NM700	SPECTRAL_NM710	SPECTRAL_NM720	SPECTRAL_NM730
END_DATA_FORMAT

NUMBER_OF_SETS	400
BEGIN_DATA
19	19	  170.00	   72.00	    0.00	 0.21597	 0.15860	 0.01245	   46.79	   33.00	   58.84	  0.0121	  0.0129	  0.0135	  0.0138	  0.0127	  0.0110	  0.0099	  0.0093	  0.0099	  0.0112	  0.0136	  0.0235	  0.0490	  0.0733	  0.0889	  0.0958	  0.0870	  0.0750	  0.0767	  0.1097	  0.2048	  0.2966	  0.3259	  0.3338	  0.3417	  0.3516	  0.3641	  0.3785	  0.3921	  0.4005	  0.4035	  0.4030	  0.4012	  0.4026	  0.4143	    0.43
20	20	  212.00	   72.00	    0.00	 0.31604	 0.21553	 0.01305	   53.54	   44.96	   69.71	  0.0121	  0.0129	  0.0135	  0.0138	  0.0133	  0.0117	  0.0104	  0.0098	  0.0104	  0.0118	  0.0139	  0.0230	  0.0488	  0.0768	  0.0970	  0.1059	  0.0936	  0.0785	  0.0821	  0.1281	  0.2760	  0.4359	  0.4961	  0.5156	  0.5279	  0.5396	  0.5528	  0.5669	  0.5795	  0.5882	  0.5937	  0.5960	  0.5971	  0.6000	  0.6070	    0.62
21	21	  255.00	   72.00	    0.00	 0.46056	 0.29847	 0.01400	   61.53	   56.70	   82.26	  0.0137	  0.0146	  0.0153	  0.0157	  0.0143	  0.0118	  0.0104	  0.0099	  0.0109	  0.0130	  0.0159	  0.0241	  0.0510	  0.0859	  0.1129	  0.1249	  0.1095	  0.0909	  0.0959	  0.1554	  0.3583	  0.6094	  0.7376	  0.7916	  0.8153	  0.8262	  0.8340	  0.8403	  0.8451	  0.8498	  0.8571	  0.8630	  0.8686	  0.8717	  0.8707	    0.87
22	22	    0.00	  109.00	    0.00	 0.01651	 0.03860	 0.01406	   23.20	  -40.11	   16.14	  0.0096	  0.0102	  0.0106	  0.0109	  0.0110	  0.0109	  0.0104	  0.0104	  0.0110	  0.0126	  0.0173	  0.0346	  0.0667	  0.0884	  0.0908	  0.0817	  0.0659	  0.0465	  0.0290	  0.0185	  0.0136	  0.0112	  0.0097	  0.0088	  0.0086	  0.0087	  0.0093	  0.0104	  0.0121	  0.0130	  0.0126	  0.0115	  0.0104	  0.0103	  0.0126	    0.02
23	23	   42.00	  109.00	    0.00	 0.03555	 0.05392	 0.01172	   27.83	  -22.46	   27.13	  0.0090	  0.0095	  0.0099	  0.0103	  0.0099	  0.0094	  0.0088	  0.0085	  0.0088	  0.0103	  0.0135	  0.0258	  0.0534	  0.0764	  0.0843	  0.0840	  0.0790	  0.0686	  0.0556	  0.0455	  0.0391	  0.0354	  0.0322	  0.0300	  0.0300	  0.0316	  0.0347	  0.0393	  0.0447	  0.0477	  0.0470	  0.0450	  0.0419	  0.0408	  0.0457	    0.06
24	24	   85.00	  109.00	    0.00	 0.08066	 0.09138	 0.01275	   36.25	   -6.54	   40.28	  0.0099	  0.0105	  0.0109	  0.0112	  0.0106	  0.0099	  0.0094	  0.0093	  0.0099	  0.0115	  0.0144	  0.0252	  0.0544	  0.0839	  0.0979	  0.1036	  0.1053	  0.1018	  0.0959	  0.0933	  0.0931	  0.0927	  0.0907	  0.0894	  0.0909	  0.0948	  0.1005	  0.1079	  0.1155	  0.1203	  0.1210	  0.1197	  0.1173	  0.1175	  0.1242	    0.14
25	25	  127.00	  109.00	    0.00	 0.14259	 0.13963	 0.01484	   44.18	    5.01	   51.36	  0.0113	  0.0121	  0.0126	  0.0128	  0.0122	  0.0110	  0.0104	  0.0103	  0.0110	  0.0130	  0.0163	  0.0294	  0.0663	  0.1042	  0.1227	  0.1316	  0.1344	  0.1305	  0.1289	  0.1400	  0.1616	  0.1765	  0.1792	  0.1795	  0.1831	  0.1896	  0.1983	  0.2089	  0.2191	  0.2255	  0.2274	  0.2271	  0.2255	  0.2270	  0.2365	    0.25
26	26	  170.00	  109.00	    0.00	 0.23502	 0.20237	 0.01544	   52.10	   18.77	   64.32	  0.0125	  0.0133	  0.0139	  0.0143	  0.0133	  0.0113	  0.0101	  0.0097	  0.0104	  0.0121	  0.0151	  0.0288	  0.0738	  0.1236	  0.1517	  0.1640	  0.1602	  0.1487	  0.1491	  0.1798	  0.2514	  0.3100	  0.3255	  0.3291	  0.3356	  0.3450	  0.3574	  0.3722	  0.3860	  0.3943	  0.3975	  0.3964	  0.3938	  0.3954	  0.4077	    0.43
27	27	  212.00	  109.00	    0.00	 0.34657	 0.27104	 0.01640	   59.07	   31.92	   75.26	  0.0134	  0.0143	  0.0149	  0.0153	  0.0145	  0.0125	  0.0110	  0.0104	  0.0113	  0.0129	  0.0159	  0.0273	  0.0719	  0.1306	  0.1689	  0.1858	  0.1774	  0.1621	  0.1666	  0.2163	  0.3454	  0.4667	  0.5087	  0.5224	  0.5329	  0.5439	  0.5567	  0.5705	  0.5832	  0.5922	  0.5980	  0.6010	  0.6028	  0.6061	  0.6134	    0.63
28	28	  255.00	  109.00	    0.00	 0.50188	 0.36910	 0.01771	   67.21	   43.54	   87.89	  0.0139	  0.0149	  0.0156	  0.0159	  0.0145	  0.0119	  0.0105	  0.0103	  0.0117	  0.0148	  0.0182	  0.0290	  0.0752	  0.1472	  0.2018	  0.2257	  0.2117	  0.1901	  0.1968	  0.2646	  0.4560	  0.6664	  0.7657	  0.8049	  0.8216	  0.8296	  0.8361	  0.8417	  0.8464	  0.8510	  0.8582	  0.8640	  0.8697	  0.8733	  0.8726	    0.87
